,Hindi,English,Hinglish,English_Part,To_Translate,Translated
155,वैल्यूज मेरी कुछ रिपोर्ट्स आई है आज,"Well, he's got some of my reports here today.","Well, he's got some of my reports here आज.","Well, he's got some of my reports here",today.,आज.
156,कितना साल जिऊा वो कैलकुलेट कर र है जस्ट,"How old he's been, he's taking his cell!","How old he's been, he's taking his कक्ष!","How old he's been, he's taking his",cell!,कक्ष!
157,केम बैक टू माय रूम थोड़ा सा मुझे डर लग,Start back toy room I'm afraid.,Start back toy room I'm afraid. ,Start back toy room I'm afraid.,,
158,रहा है यू नो वई ये टीवी मैं ऐसा छोड़ के,No. I'm leaving this TV.,No. I'm leaving this टीवी.,No. I'm leaving this,TV.,टीवी.
159,नहीं गया था रूम में ये टीवी ऐसा किसने कर,Who did this TV in the room?,Who did this TV in the कमरा?,Who did this TV in the,room?,कमरा?
160,दिया और ये गिरी हुई है य मैं तो नहीं,"Has it fallen, or am I not?","Has it fallen, or am I नहीं?","Has it fallen, or am I",not?,नहीं?
161,करके गया था मेरे रूम में कौन आया भाई डर,Who came in my room fearing the brother?,Who came in my room fearing the भाई?,Who came in my room fearing the,brother?,भाई?
162,लग रहा,Looks,Looks ,Looks,,
163,है,is,is ,is,,
164,ये डरावना सही अंतर लगा दिया उन्होने मेरे,They started to divide these terrible things to me.,They started to divide these terrible things to मुझे.,They started to divide these terrible things to,me.,मुझे.
165,ऊपर जदा को डरावना नहीं है स्लीप साइकिल,The bed bicycle isn't scary up.,The bed bicycle isn't डर लग रहा है.,The bed bicycle isn't,scary up.,डर लग रहा है.
166,मेजर करने के लिए कि मेरी स्लीप बसे मेरी,Major to live my bed,Major to live my केला,Major to live my,bed,केला
167,टेस्ट में आई है मेरी स्लीप क्वालिटी बहुत,"I've had a test, my sleep quality too","I've had a test, my sleep quality too ","I've had a test, my sleep quality too",,
168,ही भाईया लेवल की ू भी कहती रहती है,"It's also true that Brother Yu, of the level level, stays at home.","It's also true that Brother Yu, of the level level, stays at घर।","It's also true that Brother Yu, of the level level, stays at",home.,घर।
169,क्योंकि भाई हम लोग दिल्ली से धुए में,Because we're a brother in Delhi.,Because we're a brother in दिल्ली.,Because we're a brother in,Delhi.,दिल्ली.
170,जीने की आदत है तो वन मेजर फैक्टर इज दैट,The forest Major Factor Eclipse is used to live,The forest Major Factor Eclipse is used to जीवित,The forest Major Factor Eclipse is used to,live,जीवित
171,एंड अदर मेजर फैक्टर मैं शायद रात को जिम,And Andrew Major Factor I might Jim at night,And Andrew Major Factor I might Jim at रात्रि,And Andrew Major Factor I might Jim at,night,रात्रि
172,करता हूं  बजे घर आता हूं मे भी ट्स,"I'll come home at noon, too.",I'll come home at दोपहर भी.,I'll come home at,"noon, too.",दोपहर भी.
173,व् बॉडी में स्ट्रेस बढ़ता है उस समय और,And at that time and at the time that the body grows,And at that time and at the time that the शरीर बढ़ता है,And at that time and at the time that the,body grows,शरीर बढ़ता है
174,स्लीप में अच्छे से नहीं हो पाती कोई नहीं,The sleep doesn't last for the best,The sleep doesn't last for the सर्वोत्तम,The sleep doesn't last for the,best,सर्वोत्तम
175,मशीन लगा द है मेरे को सबसे ज्यादा डर लग,The machine is the best I'm afraid,The machine is the सबसे अच्छा मैं डर रहा हूँ,The machine is the,best I'm afraid,सबसे अच्छा मैं डर रहा हूँ
176,रहा था ये नाक में डलर ना ये ये तार अंदर,These wires in the nose.,These wires in the नाक.,These wires in the,nose.,नाक.
177,घुसी हुई है मेरे को नाक मेरी बहुत,"It's all going into the open. No, it's my nose!","It's all going into the open. No, it's my नाक!","It's all going into the open. No, it's my",nose!,नाक!
178,सेंसिटिव है कोविड टेस्ट मेरी फटती थी बट,Sensitive KVed test was my bursting-up,Sensitive KVed test was my फट रहा है,Sensitive KVed test was my,bursting-up,फट रहा है
179,एनीवेज लरहा बम लगा के सो ने डे गुड,Erry Leaming bomb hit the De Good night.,Erry Leaming bomb hit the शुभ रात्रि.,Erry Leaming bomb hit the,De Good night.,शुभ रात्रि.
180,मॉर्निंग वेलकम बैक टू द बलग ये यंत्र,Morning Welck back to The Chag,Morning Welck back to The किचन,Morning Welck back to The,Chag,किचन
181,उतारते अपना लगाया था कहां प आ गया तो,"Which then came down, when it came?","Which then came down, when it आया?","Which then came down, when it",came?,आया?
182,उसने कहा था ल प्रेस रेड लाइट आएगी नहीं आ,She said I won't come the tea Press Red Light,She said I won't come the चाय दबाएँ लाल प्रकाश,She said I won't come the,tea Press Red Light,चाय दबाएँ लाल प्रकाश
183,रही फर्स्ट हा ओके ओके सो अर्ली मॉर्निंग,"It's okay, so Early morning.","It's okay, so जल्दी सुबह.","It's okay, so",Early morning.,जल्दी सुबह.
184,ल वी चेक आवर वाटल्स एंड बल प्रेशर एव डे,LIV ARRCH VAV AVAV Vttles and Power Pressure Mie,LIV ARRCH VAV AVAV Vttles and पॉवर का दबाव डॉ.,LIV ARRCH VAV AVAV Vttles and,Power Pressure Mie,पॉवर का दबाव डॉ.
185,एंड देन वी डू थ मिनट्स ऑफ आइस वाटर जिंजर,And John V. D. D. D. D.,And डी.,And,John V. D. D. D. D.,डी.
186,टी कैन वी स्टार्ट,T Cain V Start,T कैन वी प्रारंभ,T,Cain V Start,कैन वी प्रारंभ
187,दिस डालते  सेकंड के अंदर भयंकर समय,Fearful time within seconds,Fearful time within seconds ,Fearful time within seconds,,
188,भयंकर फील होते आ मतलब जल रहे हैं पैर इस,I mean they're coming up with an awful gel.,I mean they're coming up with an भयानक glemel.,I mean they're coming up with an,awful gel.,भयानक glemel.
189,समय तो नहीं हो रही इंप्रूव बट देखते हैं,Time doesn't seem to be running out.,Time doesn't seem to be बाहर चल रहा है.,Time doesn't seem to be,running out.,बाहर चल रहा है.
190,न मिनट करना है हैविंग वन कॉफी एंड सामने,No minute is going to have wild coffee and front.,No minute is going to have wild coffee and सामने.,No minute is going to have wild coffee and,front.,सामने.
191,का व्यू थोड़ा एंजॉय करते थोड़ी चिड़िया,The view is a little bird singing a bit,The view is a little bird singing a बिट,The view is a little bird singing a,bit,बिट
192,िया देखते हैं हमें अभी निकलना है,Leta see us get out right now,Leta see us get out right now ,Leta see us get out right now,,
193,मैक्स टेस्ट के लिए ट्रेडमिल प होता है,Comes business match for Max tests.,Comes business match for अधिकतम जाँच.,Comes business match for,Max tests.,अधिकतम जाँच.
194,हार्ट का कुछ चेक करते हैं व बोलता सबसे,Some Check the Heart and Speak the Most,Some Check the Heart and Speak the Most ,Some Check the Heart and Speak the Most,,
195,इंपोर्टेंट टेस्ट है यहां का वो तो देखते,The event is testing here. They see.,The event is testing here. They देखो.,The event is testing here. They,see.,देखो.
196,हैं पास हो पाते बहुत लोग फि जाते हैं,There's a lot of people getting closer,There's a lot of लोग निकट जा रहे हैं,There's a lot of,people getting closer,लोग निकट जा रहे हैं
197,संगीत,Music,Music ,Music,,
198,उसम,Kim,Kim ,Kim,,
199,संगीत,Music,Music ,Music,,
