Hindi,English
जा क्या है बाबा लदा आंटी को हर काम के,What's up to the big aunt every job?
लिए हमें ही कॉल करनी होती है जैसे हमने,We have to call just like we.
उनका ठेका उठा रखा है बुरी बात है बेटा,"Bad it is for them to be hurt, son."
ऐसे नहीं कहते वो बेचारी बेवा है,They don't say she's poor shit.
हमारे सिवा उनका है ही,And besides Us is their portion.
कौन ममा मुझे मुझे एक जरूरी काम से जाना,Who's gonna let me go of an important job?
है मैं बस निकल रहा हूं अच्छा बेटे ऐसा,I'm just leaving this good son.
करो जाते हुए लदा आप के घर मुझे छोड़ दो,Leave me to your home loaded
मैं उन्हे हॉस्पिटल ले,I take them to hospital
जाऊंगी हा फिर तो आंटी आप जिहाद का सवाब,"If you go away, aunty will reward you for fighting"
पा,Pa_ge
लेंगी,· Global Voices
जिहाद जी आंटी हमारे नबी पाक सल्लल्लाहु,"Yes, aunty, our Prophet, has a good name for the fight."
अल वा वसल्लम की हदीस का महूम है कि जो,El Wasscher's general of Waslm is Joe
शख्स बेवा औरत की खबर गिरी रखता है या,Anyone lets news of the Beva woman fall or
उसकी जरूरियत पूरी करने के लिए भागदौड़ या,Run or run to meet her needs
जद्दोजहद करता है व मुजाहिद फी सबीला का,Composited to the left of the sym astronauts
अजर पाता है सुभान,Astrophysics
अल्लाह सुभान अल्लाह कितनी अच्छी बात की,"God, how excellent is His speech!"
है तुमने माशाल्लाह,You've got it.
से,From
शकील मैं तो आज से लदा आप के सारे काम,No doubt I loaded all of you from today
अपने हाथों से खुद,With Our Own Hands
करू,QUUGE
लबा सुन ले,Listen to a tongue
सदाए,forever
ये,That's it.
