Hindi,English
देना यहां पर यह हिंदू धर्म का अपमान नहीं,Giving here is not the contempt for Hindu religion
है कुणाल कमरा एक दिन योग शेयर किया था,The Cusssing room was sharing the sum one day
जिसमें हनुमान अपनी छाती फाड़कर भगवान राम,Whereof Hanuman tore his chest to God Ram
और सीता को दिखाते हैं और जब यह लोग अपनी,And show Sita and when she goes to her people.
छाती फाड़कर कहते हैं कि हमारे दिल के,"Intriguing to the heart, they say,"
अंदर तो मोदी और योगी आदित्यनाथ बसते हैं,In the inside are modi and sumato renovath ears.
या हिंदू धर्म का अपमान नहीं है हम सब,Or Hindu religion doesn't dishonor all of us
जानते हैं कि हनुमान जी को एक डिमोशन का,You know Hanuman's got a delivery to G.
काम ने इसको अच्छे से फूल जिसका एक सिंबल,His work gave him a fine flower with a wheelchair
माना जाता है पूरी रामायण में हनुमान जी,Hanuman G in All Ramah · Global Voices
कभी भी गुस्से में नहीं होते लेकिन एक,It never gets angry but one
पेंटर यहां पर एंग्री हनुमान की पोर्ट्रेट,Painter here portet of Anvigi Hunuman
बना देते हैं क्या यह हिंदू धर्म का अपमान,Is it a disgrace to Hindu religion?
नहीं है हनुमान जी को गुस्से में दिखाना,"No, Hanuman is angry with G."
जो कभी गुस्से में नहीं होते कुछ लोग कहते,Some say things that never become angry
हैं कि मुनावर को टारगेट किया जा रहा है,Adds that announceer is being removed
क्योंकि वह एक मुस्लिम है लेकिन यह सच,"Because he is a Muslim, but he is a truthful man."
नहीं है दोस्त कुनाल कामरा ने भी पोस्ट,Not a friend Kunalaira also sent post
किया था कि ऑपरेशन में कोई हिंदू मुस्लिम,He did that in a Hindu operation
डिस्क्रिमिनेशन नहीं है बीजेपी के स्पोक्स,No diskmination is a segox of botx
पर्सन सुधांशु त्रिवेदी ने भी एडमिट किया,But Nelson Fellervdi also made Adam.
था क्षितिज में भी आप लोग हिंदू मुस्लिम,There was also the horizon you people Muslim
करते हैं जहां प्रॉपर्टीज की बात है हम,It's where we're at work.
किसी भी प्रकार का कोई भेदभाव नहीं करते,Any Kind of Prejudice
अलग खुले में एडमिट कर रहे हैं कि हम,We're a Adamist on the outside that we're in.
लोगों को प्रेस करते हैं और हम प्रेस करते,People press and we press
हुए हिंदू मुस्लिम नहीं देख समय एक बड़ी,A Great Time Not a Visit to Hindu Optimist · Global Voices
जिद्दी फिल्म आई थी जाने भी दो यारो उस,"Even if the stubborn film did come, two or two"
फिल्म का पूरा क्लाइमैक्स सीन महाभारत को,All of the film is on the back of the Great Brigade.
दर्शा रहा था ट्यूमर उसमें यह था कि,The tumor was showing her that it was her
एक्ट्रेस अपनी स्क्रिप्ट चेंज कर रहे थे,Ants were converting their scripts
और सोसायटी परिक्षेत्र कर रहे थे इतनी,and all the people of the world were en masse.
चीजों को लेकर लोग को फ्रंट फील करने लग,The people took everything to the front.
गए तो किसी भी धर्म का कुछ भी दिखाना,So let's show anything of any religion
पॉसिबल नहीं हो पाएगा अक्षय कुमार एक,The posciable butterfly won't be one
पॉलिसी बाजार की साइड में यमराज बनते हैं,The policy becomes Yangon in the side of the market.
और इंश्योरेंस को बेचते हैं यह भी अब एंटी,"And sell Insecurity to Islam, it's now an emergency."
हिंदू जाएगा और सॉरी यह तो अक्षय कुमार इन,Hindu will go and sorry it's an axis butterfly in
के लिए कुछ एंटीमनी हो सकता नृसिंह,For some anti-managec lion.
सरस्वती एक रिपोर्टर से बात करते वक्त,Saraswati talking to a reporter
नथूराम गोडसे को राम से कंपेयर करते हुए,Comuding Nauram god to Rama
व्हाट्सएप निवारण मानता हूं आदर्श है मेरे,They're my model.
प्रदीप कुमार असल मानता हूं हत्यारा कोई,I really believe someone is a killer.
भी हो गॉड से हो या कोई भी रोग नहीं कि,No one is affected by God or by illness
भगवान राम का अपमान नहीं हुआ यादव,God didn't insult Rama
आपको बताता है लेकिन अपने वीडियोस,But let's tell you your videos.
में शिव प्रसाद को कम करता है पंडित,Reduces schid in
सेक्सी सेक्सी सेक्सी,Sexy Sex
सेक्सी,Sexy
से,From
तरफ डाउनलोड कर लो बहुत क्या मतलब ऐसी,"Whether you're looking forward to it or not, you've got it."
वीडियोस इसमें भाई तुम लोगों से दोस्ती कर,Videos make friends with you
सकते,Can
हो और,And bey-and-
मतलब,Meaning
मतलब जय श्री राम लिखकर पीछे से अश्लील,I mean Jay Mr. Ram writes back immorality
शब्द बोलना अश्लील को प्रमोट करना है लोग,Saying the word is for people to exploit indecency
हैं और यह जो ट्विटर अकाउंट है जो हिंदुओं,"And it's Twitter, a Hindu."
के ठेकेदार बने फिरते इन्हें इसमें कुछ भी,One of the things to be done in..../ . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
एंटी हिंदू नहीं लगता इन फैक्ट यही ट्विटर,Global Hindu doesn't think it's this Twitter.
अकाउंट जो कैरी मिनाती को हिंदू विरोधी,Hindu enemy to Guerm Minnith
कहने लग रहा था यह वेलवेट यादव की तारीफ,I'd say it's a compliment to Welvet.
करने लग रहा था पद है इसके पीछे क्या,What seemed to be the term behind
रिएक्शन हो सकता है जरा सोच कर देखिए,Consider a few more ways to reduce the risk of heart attack.
सिंपल सर्विस नेटवर्क एलविश यादव फॉर,Simple Service Network Rememberation for
इंस्टेंटली बीजेपी की तारीफ करता है,An eye - opener commends the treader
बीजेपी के मिनिस्टर से मिलता है तो,Let's see if we're in the race.
क्योंकि यहां पर एक बीजेपी का कनेक्शन आ,Because there's a deal to a boppe here.
गया तो इन सबका मुंह बंद हो गया सेम जील,If all of them closed their mouth
अक्षय कुमार के साथ हुई सेम चीज कंगना,The Yhom offset with the axiss
रनोट के साथ ही प्रेम चीज व्यक्ति सरस्वती,Love is the only thing the person has ever seen.
के साथ हुई तो सिंपल सी बात यहां पर यह है,So Simple C is here.
कि इन लोगों को हिंदू धर्म से कुछ,That's something to these people from Hindu religion
लेनादेना नहीं हिंदू फोबिया से कुछ,I don't want to take anything from Hindu genia
लेनादेना नहीं है यह लोग बस अपनी,It's not the only people who have to do it.
पॉलीटिकल पार्टी का एजेंडा फैला रहे हैं,The Polythetic party is spreading the agency
हिंदू धर्म का इस्तेमाल करके इससे बड़ा,More Than It Is Using Hindu Religion
प्रमाण क्या हो सकता है हिंदू धर्म का कि,What evidence can be of Hindu religion
यह लोग हमारे धर्म का इस्तेमाल करके अपनी,This People Use Their Religion
पॉलिटिक्स खेले लोगों के अंदर नफरत खोलें,Open hatred within people playing bulging.
और लोगों को फालतू की चीजों पर आउटरेज,and people will be raised from all sides.
करवाकर बेवकूफ बना अब मुनाफे की कुणाल,"As a fool, I'll buy it now."
कमरा और रवीश कुमार जैसे झड़ने अक्षर,Dropful letters like room and bed box
को क्रिटिसाइज करते हैं है तो उसी इंजन,So the same engine lets the heartize.
सोने टारगेट किया जाता है इन लोगों के,Gold is decorated with these people
द्वारा एंटी हिंदू पर टैक्स लगाने की,"In the United States, for example, a third of the world's population are infected with HIV, the AIDS virus, and the AIDS virus."
कोशिश करी जाती है और उत्तर और कैरी,Trying and Answering and Carey
मिनाती जैसे लोग जो बीजेपी के लिए,The minute-alike ones to the boepie
कैंपेनिंग नहीं करते वह भी इसमें फट जाते,"They do not go about therein, but it is torn apart."
हैं क्योंकि इन लोगों को पब्लिसिटी चाहिए,Because these people need plonity
यह लोग बड़ेबड़े लोग को टारगेट करना,It is these big people who stand up to it.
चाहते हैं जो बीजेपी की तारीफ नहीं कर रहे,They don't want to be praised by the seed-pipes.
हैं कैरी मिनाती बीजेपी की तारीफ करने लग,"In the middle of the second century C.E., Charles Taze Russell became a member of the Governing Body of Jehovah's Witnesses."
जाएगा तो उसके खिलाफ भी चुप हो जाएंगे,And he will be silent against it.
जितने बड़े इंसान को टारगेट करेंगे जितने,All large ones will be moved to update.
पॉपुलर इंसान को टारगेट करेंगे जो बीजेपी,A POPER will pop up a person who's absp
के फेवर में बात नहीं कर रहा है उतनी ही,That's not so much in the faver
इन्हें पब्लिसिटी मिलेगी अपने काम के लिए,They're going to have a blobity for their job
अच्छा यहां पर कुछ लोग कहते हैं कि यह,Well here are some people say it is
सारा मजाक सिर्फ हिंदू धर्म के खिलाफ ही,The whole joke is just against Hindu religion
क्यों उठाया जाता है सारी कॉमेडी हिंदुओं,Why All Comdy Hindus are raised
के खिलाफ ही क्यों होती है यह सच नहीं है,It's not true why it's against you
यह चीज आपको बारबार दिखाई जाती है न,This thing is not shown to you again
अकाउंट वह इसलिए आपको कैसा लगता है लेकिन,How she feels about you but
रियालिटी में बाकी धर्मों के भी बहुत मजाक,A lot of fun about other religions in business
उड़ाया जाता है इस्लाम के खिलाफ भी काफी,Even Against Islam
कॉमेडी है क्रिश्चियनिटी के खिलाफ भी काफी,Comdy is a lot against Christianity too
कॉमेडी मिल जाएगी आपको एक मुसलमान पति ने,There you will find a Muslim husband.
एक मुसलमान पत्नी से बोला तलाक तलाक तलाक,Divorce Divorce From a Muslim Wife
आपसे तेरा मेरा कोई रिश्ता नहीं है तो,You have no relationship with me
मुसलमान पत्नी बोली बहन तो वहीं,The Muslim wife said the sister is right there.
लुट यह बना दिया टिंडर को मर्डर कर दिया,The plunder made it dead to Tinder
और फेक अकाउंट क्या ही बना लोगे तब,"And then you will throw [it], and then you will throw [it],"
सुर्खियों में न्यू रिलीज आफ थिस वे,They're the second president at the headlines...
मुस्लिम्स एंड क्रिश्चियंस कैन कम टुगेदर,Muslims and Kristhics Cain Mansather
एंड प्ले इन हार्मनी लेडीज एंड जेंटलमैन,And play Inmani Ladyz and Genelman
फिर इस्लाम वालों लू,"Then did he drive away those who had surrendered (to Allah),"
लोग सलमान रश्दी का नाम लेते हैं कि,People call Salanim that
उन्हें अपनी किताब सैटनिक वर्सेस के वजह,Because of their textbooks
से छोड़ना पड़ा लेकिन हुसैन को छोड़ना,I had to leave but leave Husan
पड़ा था अपनी पेंटिंग्स की वजह से,Was it because of your paintings?
प्रोफेट मोहम्मद,Profeatio
को,To
सबस्क्राइब उन्होंने,They Sacrobé
मुस्लिम मुस्लिम सोसायटी के अंदर की भी,Even Within the Muslim Society
बात,Talk
नहीं,No
करना है कि हिंदू खतरे में है,The Hindu is in danger
हैं उसी चीज को ताक पर रखा है उसमें आपको,He's watching over you in it.
इंट्रस्ट नहीं है हम आखिर अफगानिस्तान में,It's not ant we end up in Afghanistan.
तालिबान का दोबारा हुकूमत पा लेना दुनिया,The World to Responate the Sovereignty
भर के लिए फिर कब वायरस है इसके कम खतरनाक,The virus is less dangerous for the whole world
नहीं है हिंदुस्तानी मुसलमानों के कुछ,Not something of Muslims
तबकों का उन व्यक्तियों की वापसी पर जश्न,Christmas on the Return of Those Sorts
मनाया और,Introducing and Taking Up
मीडिया मुस्लिम के खिलाफ नफरत होने वाले,Hated Against Media Muslims
प्रोग्राम लाते रहते हैं हर चीज को लेकर,The program brings everything
याद करना शुरू कर देता यूपी से,I started remembering from UP
किसी भी छोटी से छोटी चीज में और यह कहते,In any small thing and say it
कि सिर्फ हिंदू धर्म को ही सच्चा दोस्त को,That Hindu religion alone is the only true friend
इस्लाम से कोई दिक्कत नहीं है एक एवरेज,"There's no problem with Islam, Average"
मुस्लिम हिंदू धर्म से कोई दिक्कत,Some difficulty with Muslim Hindu religion
में मुस्लिम औरतें राम के ऊपर फ्लावर्स,Among Muslim women will fly over Ram.
वाराणसी में मुस्लिम औरतें राम की पूजा कर,Muslim women worship Rama in the disaster
रहे हैं लखनऊ में मुस्लिम जेनरेशन से,From the Muslim Generation in Lanu
रामलीला ऑर्गेनाइज्ड करते आ रहे हैं और,Ramleyla Organized are coming and coming up.
दूरदर्शन के सीरियल के लिखे गए हैं वह,It's just written by the serials of Far Asia.
मुस्लिम के द्वारा लिखे गए हैं राही मासूम,"It is written by the Muslims, the innocent."
रजा भारत रत्न उठाओ मिला खान अमेरिका में,Rajas India carried the gem in the US · Global Voices
सेटल होने से मना कर दिया था क्योंकि,Because she refused to have a shower.
उन्होंने कहा था कि अमेरिका में गंगा कहां,He said where the Americas in
से लाओगे भगवत गीता पर एक हुआ था जयपुर,Smbhaga Anwara had a meeting at Bhagava
में इसे ऑर्गेनाइज किया गया हरे कृष्णा,It's renovated green universes
मिशन के द्वारा जिसमें  साल के मुस्लिम,By the mission in which the year Muslims were born.
लड़के ने इसको इसको जीता था हकीकत में,The boy won him in reality
हिंदुइज्म वसुदेव कुटुंबकम की सिखाता है,Gurujum and Susdev teach Kakutu
कि सारी दुनिया एक है सब लोग एक बराबर,That whole world is all alike
लेकिन यह जो लोग ट्विटर पर और सोशल मीडिया,But it's people on Twitter and social media.
पर अपने आप को हिंदू ठेकेदार समझते हैं वह,But he thinks himself to be Hindu statesman.
बिल्कुल इन प्रिंसिपल के खिलाफ जाते हैं,Absolutely against these principals.
उसमें बिल्कुल नहीं करते वह नफरत भूलने,He doesn't forget it
में यकीन करते हैं किस तरह से एक एवरेज को,In what way do they believe in the Bible?
पकड़कर रेडिकलाइज्म किया जा सके उसके अंदर,Hold it in hand-to-birth
गुस्सा डाला जा सके कि वह दूसरे धर्मों के,It Can Be Angered With Other Religions
खिलाफ नफरत करना शुरू कर दें हमारे,Let Us Start Against Us
पॉलीटिकल पार्टी के खिलाफ क्रिटिसाइज करते,Forensicize against the Polythetic party
हैं उनके खिलाफ नफरत करना शुरू कर दिए ऊपर,I've begun to hate them
थोड़ा ध्यान देंगे तो आप भी करना शुरू,"If you take a little note, you'll get started too"
करेंगे बहुतबहुत धन्यवाद है,They'll thank you very much.
कि अ,Kii A
